No.overall,No._inseason,Title,Directed_by,Written_by,Original_air_date,Prod.code,U.S._viewers_millions,Season
49,9,"""The Vengeance Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Maria FerrariTeleplay by : Richard Rosenstock & Jim Reynolds & Steve Holland,23/11/2009,3X5559,14.1,3
50,10,"""The Gorilla Experiment""",Mark Cendrowski,Story by : Chuck Lorre & Richard Rosenstock & Steve HollandTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,07/12/2009,3X5560,14.3,3
51,11,"""The Maternal Congruence""",Mark Cendrowski,Story by : Lee Aronsohn & Steven Molaro & Richard Rosenstock & Maria FerrariTeleplay by : Chuck Lorre & Bill Prady & Dave Goetsch,14/12/2009,3X5562,15.5,3
52,12,"""The Psychic Vortex""",Mark Cendrowski,Story by : Lee Aronsohn & Steven MolaroTeleplay by : Chuck Lorre & Eric Kaplan & Jim Reynolds,11/01/2010,3X5561,15.8,3
53,13,"""The Bozeman Reaction""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Jim ReynoldsTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,18/01/2010,3X5563,14.9,3
54,14,"""The Einstein Approximation""",Mark Cendrowski,Story by : Lee Aronsohn & Dave Goetsch & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,01/02/2010,3X5565,15.5,3
55,15,"""The Large Hadron Collision""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by : Lee Aronsohn & Richard Rosenstock & Maria Ferrari,08/02/2010,3X5564,16.2,3
56,16,"""The Excelsior Acquisition""",Peter Chakos,Story by : Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by : Bill Prady & Steve Holland & Maria Ferrari,01/03/2010,3X5566,15.7,3
57,17,"""The Precious Fragmentation""",Mark Cendrowski,Story by : Lee Aronsohn & Eric Kaplan & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Richard Rosenstock,08/03/2010,3X5567,16.3,3
58,18,"""The Pants Alternative""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Eric Kaplan & Richard Rosenstock & Jim Reynolds,22/03/2010,3X5568,13.4,3
59,19,"""The Wheaton Recurrence""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Nicole Lorre & Jessica AmbrosettiTeleplay by : Bill Prady & Dave Goetsch & Jim Reynolds & Maria Ferrari,12/04/2010,3X5569,13.3,3
60,20,"""The Spaghetti Catalyst""",Anthony Rich,Chuck Lorre & Bill Prady & Lee Aronsohn & Steven Molaro,03/05/2010,3X5570,11.6,3
61,21,"""The Plimpton Stimulation""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Lee AronsohnTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,10/05/2010,3X5571,13.7,3
62,22,"""The Staircase Implementation""",Mark Cendrowski,Story by : Lee Aronsohn & Steven Molaro & Steve HollandTeleplay by : Chuck Lorre & Dave Goetsch & Maria Ferrari,17/05/2010,3X5572,15,3
63,23,"""The Lunar Excitation""",Peter Chakos,Story by : Chuck Lorre & Bill Prady & Maria FerrariTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,24/05/2010,3X5573,14.7,3
64,1,"""The Robotic Manipulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,23/09/2010,3X6651,14,4
65,2,"""The Cruciferous Vegetable Amplification""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,30/09/2010,3X6652,13,4
66,3,"""The Zazzy Substitution""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by : Lee Aronsohn & Steven Molaro & Maria Ferrari,07/10/2010,3X6653,12.5,4
67,4,"""The Hot Troll Deviation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Adam FabermanTeleplay by : Bill Prady & Lee Aronsohn & Maria Ferrari,14/10/2010,3X6654,12.5,4
68,5,"""The Desperation Emanation""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,21/10/2010,3X6655,13,4
69,6,"""The Irish Pub Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by : Bill Prady & Eric Kaplan & Maria Ferrari,28/10/2010,3X6656,13,4
70,7,"""The Apology Insufficiency""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,04/11/2010,3X6657,14,4
71,8,"""The 21-Second Excitation""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,11/11/2010,3X6658,13.1,4
72,9,"""The Boyfriend Complexity""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Dave Goetsch,18/11/2010,3X6659,13,4
73,10,"""The Alien Parasite Hypothesis""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Steve HollandTeleplay by : Lee Aronsohn & Jim Reynolds & Maria Ferrari,09/12/2010,3X6660,12,4
74,11,"""The Justice League Recombination""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,16/12/2010,3X6661,13.2,4
75,12,"""The Bus Pants Utilization""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Eric Kaplan,06/01/2011,3X6662,13.9,4
76,13,"""The Love Car Displacement""",Anthony Rich,Story by : Chuck Lorre & Bill Prady & Dave GoetschTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,20/01/2011,3X6663,13.6,4
77,14,"""The Thespian Catalyst""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,03/02/2011,3X6664,13.8,4
78,15,"""The Benefactor Factor""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by : Chuck Lorre & Eric Kaplan & Steve Holland,10/02/2011,3X6665,12.7,4
79,16,"""The Cohabitation Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,17/02/2011,3X6666,12.4,4
80,17,"""The Toast Derivation""",Mark Cendrowski,Story by : Bill Prady & Dave Goetsch & Maria FerrariTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,24/02/2011,3X6667,12.3,4
81,18,"""The Prestidigitation Approximation""",Mark Cendrowski,Story by : Bill Prady & Steve Holland & Eddie GorodetskyTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,10/03/2011,3X6668,12,4
82,19,"""The Zarnecki Incursion""",Peter Chakos,Story by : Chuck Lorre & Steven Molaro & Maria FerrariTeleplay by : Bill Prady & Dave Goetsch & Jim Reynolds,31/03/2011,3X6669,11.9,4
83,20,"""The Herb Garden Germination""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Eddie GorodetskyTeleplay by : Bill Prady & Steven Molaro & Steve Holland,07/04/2011,3X6670,11.4,4
84,21,"""The Agreement Dissection""",Mark Cendrowski,Story by : Bill Prady & Dave Goetsch & Eddie GorodetskyTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,28/04/2011,3X6671,10.7,4
85,22,"""The Wildebeest Implementation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by : Bill Prady & Eddie Gorodetsky & Maria Ferrari,05/05/2011,3X6672,10.5,4
86,23,"""The Engagement Reaction""",Howard Murray,Story by : Bill Prady & Eric Kaplan & Jim ReynoldsTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,12/05/2011,3X6673,10.7,4
87,24,"""The Roommate Transmogrification""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Eddie GorodetskyTeleplay by : Bill Prady & Eric Kaplan & Jim Reynolds,19/05/2011,3X6674,11.3,4
88,1,"""The Skank Reflex Analysis""",Mark Cendrowski,Story by : Eric Kaplan & Maria Ferrari & Anthony Del BroccoloTeleplay by : Chuck Lorre & Bill Prady & Steven Molaro,22/09/2011,3X6851,14.3,5
89,2,"""The Infestation Hypothesis""",Mark Cendrowski,Story by : Bill Prady & Steven Molaro & Maria FerrariTeleplay by : Chuck Lorre & Jim Reynolds & Steve Holland,22/09/2011,3X6852,14.9,5
90,3,"""The Pulled Groin Extrapolation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Dave Goetsch,29/09/2011,3X6853,14.7,5
91,4,"""The Wiggly Finger Catalyst""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Bill Prady & Steven Molaro & Steve Holland,06/10/2011,3X6854,13.9,5
92,5,"""The Russian Rocket Reaction""",Mark Cendrowski,Story by : Bill Prady & Steven Molaro & Jim ReynoldsTeleplay by : Chuck Lorre & Eric Kaplan & Maria Ferrari,13/10/2011,3X6855,13.5,5
93,6,"""The Rhinitis Revelation""",Howard Murray,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,20/10/2011,3X6857,14.9,5
94,7,"""The Good Guy Fluctuation""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,27/10/2011,3X6856,14.5,5
95,8,"""The Isolation Permutation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Steve Holland,03/11/2011,3X6858,15.9,5
96,9,"""The Ornithophobia Diffusion""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Bill Prady & Steven Molaro & Eric Kaplan,10/11/2011,3X6859,15.8,5
97,10,"""The Flaming Spittoon Acquisition""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Dave GoetschTeleplay by : Bill Prady & Jim Reynolds & Steve Holland,17/11/2011,3X6860,15,5
